"year","month","brand","model","registrations"
2024,1,"POLESTAR","POLESTAR_2_LONG_RANGE_AWD",48
2024,1,"POLESTAR","POLESTAR_2_REAR_WHEEL_DRIVE",71
2024,1,"POLESTAR","POLESTAR_2_FRONT_WHEEL_DRIVE",32
2024,1,"TESLA","MODEL_3_REAR_WHEEL_DRIVE",449
2024,1,"TESLA","MODEL_Y_REAR_WHEEL_DRIVE",342
2024,1,"TESLA","MODEL_3_LONG_RANGE_AWD",269
2024,1,"TESLA","MODEL_Y_LONG_RANGE_AWD",24
2024,1,"TESLA","MODEL_Y_PERFORMANCE",18
2024,1,"TESLA","MODEL_3_PERFORMANCE",5
2024,2,"POLESTAR","POLESTAR_2_REAR_WHEEL_DRIVE",66
2024,2,"POLESTAR","POLESTAR_2_FRONT_WHEEL_DRIVE",10
2024,2,"POLESTAR","POLESTAR_2_LONG_RANGE_AWD",37
2024,2,"TESLA","MODEL_3_REAR_WHEEL_DRIVE",4071
2024,2,"TESLA","MODEL_3_LONG_RANGE_AWD",1222
2024,2,"TESLA","MODEL_Y_LONG_RANGE_AWD",348
2024,2,"TESLA","MODEL_Y_PERFORMANCE",24
2024,3,"POLESTAR","POLESTAR_2_FRONT_WHEEL_DRIVE",8
2024,3,"POLESTAR","POLESTAR_2_LONG_RANGE_AWD",21
2024,3,"POLESTAR","POLESTAR_2_REAR_WHEEL_DRIVE",55
2024,3,"TESLA","MODEL_Y_LONG_RANGE_AWD",873
2024,3,"TESLA","MODEL_3_LONG_RANGE_AWD",688
2024,3,"TESLA","MODEL_3_REAR_WHEEL_DRIVE",946
2024,3,"TESLA","MODEL_Y_PERFORMANCE",121
2024,3,"TESLA","MODEL_Y_REAR_WHEEL_DRIVE",3385
2024,3,"TESLA","MODEL_3_PERFORMANCE",4
2024,4,"POLESTAR","POLESTAR_2_LONG_RANGE_AWD",49
2024,4,"POLESTAR","POLESTAR_2_REAR_WHEEL_DRIVE",51
2024,4,"TESLA","MODEL_3_REAR_WHEEL_DRIVE",622
2024,4,"TESLA","MODEL_Y_LONG_RANGE_AWD",256
2024,4,"TESLA","MODEL_Y_REAR_WHEEL_DRIVE",862
2024,4,"TESLA","MODEL_3_LONG_RANGE_AWD",288
2024,4,"TESLA","MODEL_Y_PERFORMANCE",48
2024,4,"TESLA","MODEL_3_PERFORMANCE",1
2024,5,"POLESTAR","POLESTAR_2_LONG_RANGE_AWD",54
2024,5,"POLESTAR","POLESTAR_2_REAR_WHEEL_DRIVE",70
2024,5,"POLESTAR","POLESTAR_2_FRONT_WHEEL_DRIVE",22
2024,5,"TESLA","MODEL_3_REAR_WHEEL_DRIVE",1140
2024,5,"TESLA","MODEL_Y_LONG_RANGE_AWD",378
2024,5,"TESLA","MODEL_Y_REAR_WHEEL_DRIVE",1173
2024,5,"TESLA","MODEL_3_LONG_RANGE_AWD",817
2024,5,"TESLA","MODEL_Y_PERFORMANCE",58
2024,5,"TESLA","MODEL_3_PERFORMANCE",1
2024,6,"POLESTAR","POLESTAR_2_LONG_RANGE_AWD",146
2024,6,"POLESTAR","POLESTAR_2_REAR_WHEEL_DRIVE",82
2024,6,"POLESTAR","POLESTAR_2_FRONT_WHEEL_DRIVE",128
2024,6,"TESLA","MODEL_3_LONG_RANGE_AWD",496
2024,6,"TESLA","MODEL_3_REAR_WHEEL_DRIVE",962
2024,6,"TESLA","MODEL_Y_REAR_WHEEL_DRIVE",2329
2024,6,"TESLA","MODEL_Y_LONG_RANGE_AWD",457
2024,6,"TESLA","MODEL_3_PERFORMANCE",319
2024,6,"TESLA","MODEL_Y_PERFORMANCE",120
2024,7,"POLESTAR","POLESTAR_2_LONG_RANGE_AWD",37
2024,7,"POLESTAR","POLESTAR_2_REAR_WHEEL_DRIVE",51
2024,7,"POLESTAR","POLESTAR_2_FRONT_WHEEL_DRIVE",3
2024,7,"POLESTAR","POLESTAR_3_LONG_RANGE_AWD",12
2024,7,"TESLA","MODEL_3_PERFORMANCE",349
2024,7,"TESLA","MODEL_3_REAR_WHEEL_DRIVE",557
2024,7,"TESLA","MODEL_Y_REAR_WHEEL_DRIVE",1071
2024,7,"TESLA","MODEL_3_LONG_RANGE_AWD",333
2024,7,"TESLA","MODEL_Y_LONG_RANGE_AWD",244
2024,7,"TESLA","MODEL_Y_PERFORMANCE",38
2024,8,"POLESTAR","POLESTAR_2_LONG_RANGE_AWD",12
2024,8,"POLESTAR","POLESTAR_2_REAR_WHEEL_DRIVE",48
2024,8,"POLESTAR","POLESTAR_2_FRONT_WHEEL_DRIVE",2
2024,8,"POLESTAR","POLESTAR_3_LONG_RANGE_AWD",3
2024,8,"TESLA","MODEL_3_LONG_RANGE_AWD",343
2024,8,"TESLA","MODEL_Y_LONG_RANGE_AWD",200
2024,8,"TESLA","MODEL_Y_REAR_WHEEL_DRIVE",1088
2024,8,"TESLA","MODEL_3_PERFORMANCE",84
2024,8,"TESLA","MODEL_3_REAR_WHEEL_DRIVE",636
2024,8,"TESLA","MODEL_Y_PERFORMANCE",42
2024,9,"POLESTAR","POLESTAR_2_LONG_RANGE_AWD",76
2024,9,"POLESTAR","POLESTAR_2_REAR_WHEEL_DRIVE",109
2024,9,"POLESTAR","POLESTAR_3_LONG_RANGE_AWD",27
2024,9,"TESLA","MODEL_Y_REAR_WHEEL_DRIVE",1239
2024,9,"TESLA","MODEL_3_LONG_RANGE_AWD",314
2024,9,"TESLA","MODEL_Y_PERFORMANCE",63
2024,9,"TESLA","MODEL_3_REAR_WHEEL_DRIVE",775
2024,9,"TESLA","MODEL_3_PERFORMANCE",62
2024,9,"TESLA","MODEL_Y_LONG_RANGE_AWD",196
2024,10,"POLESTAR","POLESTAR_2_LONG_RANGE_AWD",27
2024,10,"POLESTAR","POLESTAR_2_REAR_WHEEL_DRIVE",64
2024,10,"POLESTAR","POLESTAR_3_LONG_RANGE_AWD",14
2024,10,"POLESTAR","POLESTAR_4_LONG_RANGE_AWD",13
2024,10,"POLESTAR","POLESTAR_4_REAR_WHEEL_DRIVE",12
2024,10,"TESLA","MODEL_3_PERFORMANCE",14
2024,10,"TESLA","MODEL_3_REAR_WHEEL_DRIVE",257
2024,10,"TESLA","MODEL_Y_REAR_WHEEL_DRIVE",800
2024,10,"TESLA","MODEL_3_LONG_RANGE_AWD",151
2024,10,"TESLA","MODEL_Y_LONG_RANGE_AWD",197
2024,10,"TESLA","MODEL_Y_PERFORMANCE",45
2024,11,"POLESTAR","3_LONG_RANGE_AWD",3
2024,11,"POLESTAR","4_REAR_WHEEL_DRIVE",28
2024,11,"POLESTAR","4_LONG_RANGE_AWD",10
2024,11,"POLESTAR","2_LONG_RANGE_AWD",8
2024,11,"POLESTAR","2_REAR_WHEEL_DRIVE",27
2024,11,"TESLA","MODEL_Y_REAR_WHEEL_DRIVE",1339
2024,11,"TESLA","MODEL_3_REAR_WHEEL_DRIVE",527
2024,11,"TESLA","MODEL_3_PERFORMANCE",118
2024,11,"TESLA","MODEL_Y_PERFORMANCE",58
2024,11,"TESLA","MODEL_Y_LONG_RANGE_AWD",256
2024,11,"TESLA","MODEL_3_LONG_RANGE_AWD",242