"year","month","brand","model_3_registrations","model_y_registrations","model_s_registrations","model_x_registrations","registrations"
2023,1,"TESLA",12,18,1,4,35
2023,2,"TESLA",8,6,0,1,15
2023,3,"TESLA",12,18,0,3,33
2023,4,"TESLA",14,9,0,0,23
2023,5,"TESLA",22,11,0,2,35
2023,6,"TESLA",23,9,0,1,33
2023,7,"TESLA",18,20,0,3,41
2023,8,"TESLA",26,48,0,4,78
2023,9,"TESLA",21,15,0,0,36
2023,10,"TESLA",7,13,0,0,20
2023,11,"TESLA",205,7,0,0,212
2023,12,"TESLA",1308,4,0,0,1312
2024,1,"TESLA",369,4,1,1,375
2024,2,"TESLA",250,8,0,1,259
2024,3,"TESLA",149,858,0,2,1009
2024,4,"TESLA",94,268,0,1,363
2024,5,"TESLA",316,320,0,0,636
2024,6,"TESLA",148,289,0,0,437
2024,7,"TESLA",273,47,0,0,320
2024,8,"TESLA",379,57,1,1,438
2024,9,"TESLA",301,147,1,1,450
2024,10,"TESLA",191,72,2,0,265
2024,11,"TESLA",197,75,0,1,273
2025,1,"TESLA",3,10,0,0,13
2025,2,"TESLA",377,65,0,1,443
2025,3,"TESLA",138,33,0,0,171